title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity,has_win_award
Break Free,Ariana Grande,dance pop,2015,130,70,69,-5,20,28,215,1,5,75,0
Don't,Ed Sheeran,pop,2015,95,61,81,-7,64,85,220,1,7,74,0
Elastic Heart,Sia,australian dance,2015,130,79,42,-5,15,50,257,1,5,73,0
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121,59,80,-7,19,55,228,16,4,73,0
Hello,Adele,british soul,2015,158,45,48,-6,9,29,295,34,3,73,0
Dear Future Husband,Meghan Trainor,dance pop,2015,79,78,66,-5,32,83,184,38,19,72,0
43776,Beyoncé,dance pop,2015,136,71,75,-5,13,56,214,1,13,72,0
The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83,79,62,-5,14,62,227,5,4,72,0
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86,73,60,-4,33,53,193,24,15,72,0
Genie In a Bottle,Christina Aguilera,dance pop,2015,176,80,63,-7,14,91,218,21,16,72,0
Company,Justin Bieber,canadian pop,2015,95,80,59,-5,8,43,208,13,6,72,0
Sing,Ed Sheeran,pop,2015,120,67,82,-4,6,94,235,30,5,71,0
Jealous - Remix,Nick Jonas,dance pop,2015,93,71,68,-4,44,45,222,1,8,70,0
Really Don't Care,Demi Lovato,dance pop,2015,121,73,71,-4,19,85,202,12,9,70,0
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110,61,83,-4,29,71,293,9,7,70,0
Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91,89,57,-5,33,31,233,10,8,69,0
Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,49,-4,6,48,199,1,5,69,0
Up,Olly Murs,dance pop,2015,115,85,69,-5,10,64,224,2,3,69,0
Trumpets,Jason Derulo,dance pop,2015,82,70,63,-5,10,64,217,56,24,69,0
Runnin' (Lose It All),Naughty Boy,tropical house,2015,139,85,32,-6,48,8,213,1,8,69,0
Same Old Love,Selena Gomez,dance pop,2015,98,59,67,-4,21,44,229,2,3,69,0
I Want You To Know,Zedd,complextro,2015,130,85,58,-3,14,37,240,1,6,68,0
Lips Are Movin,Meghan Trainor,dance pop,2015,139,83,78,-5,11,95,183,5,5,68,0
I'll Show You,Justin Bieber,canadian pop,2015,192,61,36,-7,18,8,200,5,10,68,0
Here,Alessia Cara,canadian contemporary r&b,2015,120,82,38,-4,8,33,199,8,10,68,0
I Lived,OneRepublic,dance pop,2015,120,85,59,-5,27,34,235,7,4,67,0
Fireball (feat. John Ryan),Pitbull,dance pop,2015,123,94,69,-5,5,79,235,9,6,67,0
Easy Love,Sigala,dance pop,2015,124,94,68,-4,12,65,230,18,6,67,0
The Feeling,Justin Bieber,canadian pop,2015,127,81,53,-6,10,21,245,8,6,67,0
I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,81,62,-5,22,60,205,1,4,66,0
BO$$,Fifth Harmony,dance pop,2015,103,87,81,-5,5,74,171,1,11,66,0
Sugar,Maroon 5,pop,2015,120,79,75,-7,9,88,235,6,3,66,0
Focus,Ariana Grande,dance pop,2015,100,88,67,-6,44,79,211,27,24,66,0
All About That Bass,Meghan Trainor,dance pop,2015,134,88,81,-4,11,96,189,5,5,65,0
On My Mind,Ellie Goulding,dance pop,2015,155,71,70,-7,9,74,213,26,5,65,0
Love Me Like You,Little Mix,dance pop,2015,106,67,79,-4,28,85,198,21,4,65,0
Broken Arrows,Avicii,big room,2015,116,67,63,-7,10,29,233,5,5,65,0
Booty,Jennifer Lopez,dance pop,2015,129,95,71,-4,26,40,210,0,5,64,0
What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,36,77,-11,10,76,204,79,4,64,0
Mark My Words,Justin Bieber,canadian pop,2015,114,26,38,-9,17,52,134,88,3,63,0
Lay It All on Me,Rudimental,dance pop,2015,123,75,67,-7,19,48,242,14,4,62,0
American Oxygen,Rihanna,barbadian pop,2015,78,75,39,-6,33,48,320,5,9,61,0
Bang Bang,Jessie J,australian pop,2015,150,75,71,-4,38,73,199,27,9,61,0
Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122,70,71,-8,7,60,159,2,3,61,0
Alive,Sia,australian dance,2015,100,76,51,-4,11,44,264,25,5,61,0
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,123,82,64,-5,16,64,219,2,6,60,0
Been You,Justin Bieber,canadian pop,2015,113,78,74,-6,32,86,199,2,7,60,0
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123,89,76,-5,62,78,189,2,3,58,0
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80,48,69,-8,6,28,230,37,8,56,0
Heroes (we could be),Alesso,big room,2015,126,75,52,-4,24,35,210,4,6,56,0
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156,60,47,-6,9,4,292,33,5,55,0
Perfect,One Direction,boy band,2015,100,82,65,-5,12,40,230,6,8,55,0
Ghosttown,Madonna,dance pop,2015,79,55,54,-7,12,9,250,4,4,54,0
Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108,87,60,-4,10,59,193,5,8,54,0
Bloodstream,Ed Sheeran,pop,2015,89,59,48,-6,6,27,309,20,5,52,0
Living For Love,Madonna,dance pop,2015,123,79,67,-5,25,39,219,4,9,52,0
Baby Don't Lie,Gwen Stefani,dance pop,2015,100,55,69,-5,10,26,203,1,3,52,0
Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120,82,57,-3,16,66,211,6,3,52,0
Steal My Girl,One Direction,boy band,2015,77,76,47,-6,14,52,227,0,4,51,0
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,127,85,68,-3,6,93,193,1,6,50,0
We Are Here,Alicia Keys,hip pop,2015,93,67,64,-6,8,8,285,43,4,49,0
St Jude,Florence + The Machine,art pop,2015,117,43,26,-11,11,9,225,75,3,47,0
Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,128,78,57,-4,33,28,243,2,3,46,0
Time of Our Lives,Pitbull,dance pop,2015,124,80,72,-6,69,72,229,9,6,45,0
Sparks,Hilary Duff,dance pop,2015,122,88,85,-5,10,79,186,4,6,44,0
Mr. Put It Down,Ricky Martin,dance pop,2015,128,78,80,-6,4,83,196,1,18,42,0
Legendary Lovers,Katy Perry,dance pop,2015,126,84,62,-5,8,39,224,2,8,41,0
Spark The Fire,Gwen Stefani,dance pop,2015,120,80,88,-4,20,54,202,8,6,39,0
Run Run Run,Kelly Clarkson,dance pop,2015,112,37,28,-7,11,8,273,45,4,36,0
Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112,90,72,-4,6,88,238,1,13,34,0
Dangerous,Jennifer Hudson,dance pop,2015,109,53,90,-5,8,65,255,0,5,18,0
L.A.LOVE (la la),Fergie,dance pop,2015,202,39,48,-8,26,27,193,2,9,0,0
The Hills,The Weeknd,canadian contemporary r&b,2016,113,56,58,-7,14,14,242,7,5,84,1
Love Yourself,Justin Bieber,canadian pop,2016,100,38,61,-10,28,52,234,84,44,83,1
Cake By The Ocean,DNCE,dance pop,2016,119,75,77,-5,4,90,219,15,5,81,1
Don't Let Me Down,The Chainsmokers,electropop,2016,160,87,53,-5,14,42,208,16,17,81,1
In the Name of Love,Martin Garrix,big room,2016,134,52,50,-6,45,17,196,11,4,81,1
Into You,Ariana Grande,dance pop,2016,108,73,62,-6,14,37,244,2,11,80,1
This Is What You Came For,Calvin Harris,dance pop,2016,124,93,63,-3,15,47,222,20,3,80,1
Million Reasons,Lady Gaga,dance pop,2016,130,42,67,-8,11,15,205,49,4,80,1
Needed Me,Rihanna,barbadian pop,2016,111,31,67,-8,8,30,192,11,24,80,1
7 Years,Lukas Graham,danish pop,2016,120,47,77,-6,39,34,237,29,5,80,1
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67,-6,19,70,236,1,7,79,0
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,105,59,80,-6,6,59,214,10,4,79,0
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97,74,57,-6,11,45,230,3,13,79,0
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,108,53,63,-7,18,42,225,40,4,79,0
Work,Rihanna,barbadian pop,2016,92,53,73,-6,9,56,219,8,9,78,0
Stitches,Shawn Mendes,canadian pop,2016,150,75,75,-7,5,76,207,2,7,78,0
"Me, Myself & I",G-Eazy,hip hop,2016,112,67,76,-7,16,38,251,2,10,78,0
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102,71,66,-7,8,69,198,4,11,78,0
Dangerous Woman,Ariana Grande,dance pop,2016,134,60,66,-5,36,29,236,5,4,78,0
Starving,Hailee Steinfeld,dance pop,2016,100,62,73,-4,11,51,182,38,6,78,0
Shout Out to My Ex,Little Mix,dance pop,2016,126,75,77,-4,11,80,246,2,9,77,0
Electric Love,BØRNS,electropop,2016,120,80,61,-8,26,52,218,1,5,76,0
Confident,Demi Lovato,dance pop,2016,130,75,59,-6,9,34,206,0,7,75,0
Too Good,Drake,canadian hip hop,2016,118,65,79,-8,10,39,263,5,10,74,0
Roses,The Chainsmokers,electropop,2016,100,80,71,-7,31,34,227,4,6,74,0
Cold Water (feat. Justin Bieber & MØ),Major Lazer,dance pop,2016,93,80,61,-5,16,50,185,7,4,73,0
Me Too,Meghan Trainor,dance pop,2016,124,69,93,-6,48,84,181,10,10,73,0
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016,108,88,75,-4,23,75,166,4,7,73,0
Ain't Your Mama,Jennifer Lopez,dance pop,2016,120,68,76,-6,7,82,218,5,23,72,0
Close,Nick Jonas,dance pop,2016,124,62,65,-5,14,40,234,25,8,72,0
Toothbrush,DNCE,dance pop,2016,105,79,55,-6,47,82,232,12,13,72,0
All We Know,The Chainsmokers,electropop,2016,90,59,66,-9,12,30,194,10,3,72,0
Final Song,MØ,dance pop,2016,105,67,70,-6,8,25,236,1,3,72,0
Company,Justin Bieber,canadian pop,2016,95,80,59,-5,8,43,208,13,6,72,0
Hands To Myself,Selena Gomez,dance pop,2016,111,50,81,-7,34,47,201,1,12,71,0
All I Ask,Adele,british soul,2016,142,28,59,-5,15,34,272,88,3,71,0
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,163,70,63,-6,11,50,215,1,15,71,0
NO,Meghan Trainor,dance pop,2016,92,80,56,-4,74,65,214,1,22,70,0
Kill Em With Kindness,Selena Gomez,dance pop,2016,120,88,76,-5,10,40,218,1,4,70,0
Cool Girl,Tove Lo,dance pop,2016,102,69,67,-7,8,20,199,31,11,69,0
Runnin' (Lose It All),Naughty Boy,tropical house,2016,139,85,32,-6,48,8,213,1,8,69,0
Here,Alessia Cara,canadian contemporary r&b,2016,120,82,38,-4,8,33,199,8,10,68,0
Perfect Illusion,Lady Gaga,dance pop,2016,125,86,61,-5,36,66,182,0,4,67,0
PILLOWTALK,ZAYN,dance pop,2016,125,70,59,-4,9,43,204,10,5,66,0
Out Of The Woods,Taylor Swift,pop,2016,92,84,55,-7,34,34,236,0,4,66,0
Rise,Katy Perry,dance pop,2016,101,64,55,-6,11,44,203,5,5,66,0
Wherever I Go,OneRepublic,dance pop,2016,100,69,55,-6,27,35,170,9,4,66,0
Body Say,Demi Lovato,dance pop,2016,87,74,63,-5,28,26,194,0,4,65,0
Don't Be A Fool,Shawn Mendes,canadian pop,2016,175,34,47,-6,10,27,216,60,4,65,0
LIKE I WOULD,ZAYN,dance pop,2016,113,83,56,-6,26,23,192,2,11,65,0
Cheap Thrills,Sia,australian dance,2016,90,80,59,-5,8,73,225,6,22,64,0
I Got You,Bebe Rexha,dance pop,2016,98,89,61,-5,9,32,192,5,5,64,0
Run Away With Me,Carly Rae Jepsen,canadian pop,2016,119,72,56,-6,5,25,251,1,5,63,0
Cruel (feat. ZAYN),Snakehips,dance pop,2016,110,88,60,-4,16,32,228,2,12,63,0
Send My Love (To Your New Lover),Adele,british soul,2016,164,52,69,-8,17,56,223,4,10,61,0
WTF (Where They From),Missy Elliott,dance pop,2016,120,82,93,-3,6,56,193,2,20,58,0
Desire,Years & Years,dance pop,2016,126,78,71,-5,30,64,203,30,6,58,0
When We Were Young,Adele,british soul,2016,144,59,38,-6,9,27,291,35,5,58,0
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016,114,77,68,-5,16,72,224,11,10,57,0
Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture,Florence + The Machine,art pop,2016,94,57,37,-6,13,12,403,72,3,57,0
Hurts,Emeli Sandé,dance pop,2016,106,64,58,-8,15,18,238,2,3,57,0
Change,Christina Aguilera,dance pop,2016,82,54,62,-6,13,20,187,68,8,54,0
Make Me... (feat. G-Eazy),Britney Spears,dance pop,2016,123,70,70,-7,22,58,231,16,10,53,0
Keeping Your Head Up,Birdy,neo mellow,2016,122,78,60,-5,19,53,208,16,5,52,0
True Colors,Zedd,complextro,2016,126,79,57,-3,10,49,225,40,4,51,0
Make Me Like You,Gwen Stefani,dance pop,2016,118,71,74,-5,13,80,217,4,5,50,0
Champagne Problems,Nick Jonas,dance pop,2016,108,78,73,-5,9,64,193,0,13,50,0
Blown,DNCE,dance pop,2016,130,95,63,-5,10,73,197,0,4,48,0
Start,John Legend,neo mellow,2016,110,4,52,-15,9,26,310,99,4,47,0
Pep Rally,Missy Elliott,dance pop,2016,90,75,83,-4,20,32,263,22,12,47,0
Higher,Carly Rae Jepsen,canadian pop,2016,114,87,65,-5,37,44,234,1,6,46,0
Invitation,Britney Spears,dance pop,2016,112,65,37,-7,9,16,200,3,11,44,0
One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,2016,91,69,75,-5,13,52,192,26,4,41,0
Beautiful Birds (feat. Birdy),Passenger,folk-pop,2016,86,17,39,-13,11,14,214,91,3,36,0
Little Lies,Hilary Duff,dance pop,2016,124,76,57,-6,4,40,204,0,6,36,0
Do You Wanna Come Over?,Britney Spears,dance pop,2016,121,70,75,-6,11,45,203,1,7,34,0
BURNITUP!,Janet Jackson,dance pop,2016,123,71,83,-7,31,83,250,5,18,31,0
Picky - Remix,Joey Montana,latin,2016,186,81,70,-3,37,69,225,9,7,29,0
Behind Your Back,Nelly Furtado,canadian latin,2016,98,47,80,-10,7,69,228,25,4,18,0
Million Years Ago,Adele,british soul,2016,0,0,0,-60,0,0,227,0,0,0,0
Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87,1
Closer,The Chainsmokers,electropop,2017,95,52,75,-6,11,66,245,41,3,86,1
Starboy,The Weeknd,canadian contemporary r&b,2017,186,59,68,-7,14,49,230,14,28,85,1
Treat You Better,Shawn Mendes,canadian pop,2017,83,82,44,-4,11,75,188,11,34,84,1
That's What I Like,Bruno Mars,pop,2017,134,56,85,-5,9,86,207,1,4,83,1
Let Me Love You,DJ Snake,electronic trap,2017,100,72,65,-5,14,16,206,9,3,82,1
I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,93,82,77,-6,7,59,269,43,12,81,1
Mercy,Shawn Mendes,canadian pop,2017,148,66,56,-5,11,36,209,13,8,81,1
Side To Side,Ariana Grande,dance pop,2017,159,74,65,-6,24,61,226,5,23,80,1
Stay,Zedd,complextro,2017,102,62,69,-5,12,54,210,25,6,80,1
It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,53,64,-7,9,52,221,12,7,79,0
Malibu,Miley Cyrus,dance pop,2017,140,78,57,-6,8,34,232,8,6,78,0
Something Just Like This,The Chainsmokers,electropop,2017,103,65,61,-7,17,51,248,3,4,78,0
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017,102,76,72,-4,18,74,251,41,5,78,0
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017,118,45,74,-8,33,9,245,6,6,78,0
My Way,Calvin Harris,dance pop,2017,120,91,82,-3,16,54,219,9,4,78,0
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,81,67,61,-4,17,81,289,6,4,77,0
Praying,Kesha,dance pop,2017,73,39,58,-7,11,32,230,49,3,77,0
Despacito - Remix,Luis Fonsi,latin,2017,178,82,65,-4,10,82,229,23,17,76,0
The Greatest,Sia,australian dance,2017,192,73,67,-6,6,73,210,1,27,76,0
There for You,Martin Garrix,big room,2017,106,64,61,-8,12,13,222,12,6,76,0
Paris,The Chainsmokers,electropop,2017,100,64,65,-7,9,25,222,2,3,76,0
Crying in the Club,Camila Cabello,dance pop,2017,85,62,33,-6,16,60,216,33,38,75,0
Mama,Jonas Blue,dance pop,2017,104,79,74,-4,5,57,184,10,4,75,0
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,80,74,-3,25,51,231,50,5,75,0
Swish Swish,Katy Perry,dance pop,2017,120,71,84,-5,10,57,243,2,4,73,0
Chained To The Rhythm,Katy Perry,dance pop,2017,190,80,45,-5,20,47,238,8,17,72,0
Cold (feat. Future),Maroon 5,pop,2017,100,72,69,-6,5,41,234,14,11,72,0
Love,Lana Del Rey,art pop,2017,99,37,53,-11,11,23,273,49,3,72,0
Reggaetón Lento (Remix),CNCO,boy band,2017,94,91,53,-3,10,62,189,15,9,71,0
All I Ask,Adele,british soul,2017,142,28,59,-5,15,34,272,88,3,71,0
First Time,Kygo,edm,2017,90,59,63,-7,10,68,194,20,11,71,0
The Cure,Lady Gaga,dance pop,2017,100,51,70,-5,9,52,211,8,3,71,0
"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2017,181,54,31,-10,7,16,176,16,35,71,0
Bodak Yellow,Cardi B,pop,2017,125,72,93,-6,35,46,224,7,11,70,0
Rich Love (with Seeb),OneRepublic,dance pop,2017,105,87,40,-4,36,47,201,17,31,70,0
Tired,Alan Walker,electro house,2017,124,88,69,-4,15,49,192,4,6,70,0
Came Here for Love,Sigala,dance pop,2017,125,87,71,-3,12,72,203,3,4,70,0
24K Magic,Bruno Mars,pop,2017,107,80,82,-4,15,63,226,3,8,69,0
Strip That Down (feat. Quavo),Liam Payne,dance pop,2017,106,50,87,-5,8,55,202,20,5,69,0
Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017,115,91,71,-3,30,65,208,1,6,69,0
OK - Spotify Version,Robin Schulz,dance pop,2017,122,81,65,-6,13,58,189,12,6,69,0
Bon appétit,Katy Perry,dance pop,2017,106,79,80,-6,22,52,228,13,6,68,0
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017,135,57,76,-9,20,14,261,2,13,67,0
Get Low (with Liam Payne),Zedd,complextro,2017,108,93,72,-4,5,54,205,3,5,66,0
Kissing Strangers,DNCE,dance pop,2017,120,74,77,-6,9,86,202,5,4,66,0
Slow Hands,Niall Horan,dance pop,2017,86,42,74,-7,6,85,188,1,5,64,0
Younger Now,Miley Cyrus,dance pop,2017,122,87,55,-5,14,33,249,0,6,62,0
Body Moves,DNCE,dance pop,2017,102,69,65,-5,4,86,236,0,4,62,0
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017,122,64,73,-7,8,53,158,2,4,59,0
Angel,Fifth Harmony,dance pop,2017,124,53,74,-6,35,13,189,0,4,59,0
Touch (feat. Kid Ink),Little Mix,dance pop,2017,102,75,64,-4,49,53,203,4,11,59,0
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,100,82,70,-5,45,67,218,49,22,59,0
Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017,167,50,37,-9,20,21,180,6,12,59,0
No Vacancy (with Sebastián Yatra),OneRepublic,dance pop,2017,100,76,69,-4,14,59,223,8,4,57,0
Rich Boy,Galantis,big room,2017,110,90,74,-2,8,65,184,7,5,55,0
Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,100,67,51,-9,36,27,264,58,6,54,0
Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017,115,83,70,-6,36,63,245,28,27,54,0
Influence,Tove Lo,dance pop,2017,105,59,77,-10,11,33,225,10,5,54,0
Remember I Told You,Nick Jonas,dance pop,2017,113,53,68,-6,4,84,202,14,28,53,0
Messin' Around,Pitbull,dance pop,2017,158,81,57,-5,4,78,223,2,5,51,0
Water Under the Bridge,Adele,british soul,2017,95,84,60,-7,11,47,240,2,7,49,0
Free Me,Sia,australian dance,2017,87,46,27,-4,14,21,286,85,3,44,0
Kissing Strangers - Remix,DNCE,dance pop,2017,120,77,76,-6,8,81,202,8,5,43,0
A L I E N S,Coldplay,permanent wave,2017,148,88,43,-5,21,25,282,0,4,41,0
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86,1
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13,39,217,18,3,85,1
I Like It,Cardi B,pop,2018,136,73,82,-4,37,65,253,10,13,85,1
New Rules,Dua Lipa,dance pop,2018,116,70,76,-6,15,61,209,0,7,84,1
There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122,81,87,-4,8,97,199,38,6,84,1
no tears left to cry,Ariana Grande,dance pop,2018,122,71,70,-6,29,35,206,4,6,84,1
IDGAF,Dua Lipa,dance pop,2018,97,54,84,-6,8,51,218,4,9,84,1
In My Blood,Shawn Mendes,canadian pop,2018,140,71,62,-7,13,49,211,6,7,83,1
Wolves,Selena Gomez,dance pop,2018,125,80,72,-5,20,31,198,12,4,83,0
Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180,44,26,-7,11,10,239,10,4,83,1
Attention,Charlie Puth,dance pop,2018,100,61,78,-5,13,80,209,11,5,83,1
Electricity (with Dua Lipa),Silk City,edm,2018,118,67,59,-6,34,51,238,1,5,82,0
Love On The Brain,Rihanna,barbadian pop,2018,172,64,51,-5,8,38,224,7,5,82,1
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,103,71,66,-4,8,74,175,3,5,82,1
Silence,Marshmello,brostep,2018,142,76,52,-3,17,29,181,26,9,82,1
Sorry Not Sorry,Demi Lovato,dance pop,2018,144,64,71,-7,26,89,204,2,23,81,1
Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,33,57,-7,9,28,217,42,3,80,1
These Days,Rudimental,dance pop,2018,92,81,65,-4,17,55,211,19,5,80,0
What Lovers Do (feat. SZA),Maroon 5,pop,2018,110,60,80,-5,10,42,200,8,6,79,0
Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2018,105,86,70,-5,2,93,217,2,10,78,0
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,pop,2018,95,30,59,-7,12,36,260,78,3,78,0
Bad At Love,Halsey,dance pop,2018,118,75,68,-4,9,61,181,6,3,78,0
Him & I (with Halsey),G-Eazy,hip hop,2018,88,73,59,-6,31,19,269,5,9,78,0
Friends (with BloodPop®),Justin Bieber,canadian pop,2018,105,73,74,-5,30,62,189,0,4,77,0
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2018,98,67,67,-3,12,63,204,3,7,76,0
My My My!,Troye Sivan,dance pop,2018,103,46,70,-8,5,48,205,0,8,76,0
Capital Letters,Hailee Steinfeld,dance pop,2018,100,81,66,-6,5,46,219,3,8,76,0
Sick Boy,The Chainsmokers,electropop,2018,90,58,66,-8,12,45,193,11,5,76,0
Tequila,Dan + Shay,contemporary country,2018,86,59,47,-6,13,50,196,3,3,76,0
Look What You Made Me Do,Taylor Swift,pop,2018,128,71,77,-6,13,51,212,20,12,75,0
Youth (feat. Khalid),Shawn Mendes,canadian pop,2018,100,60,53,-7,13,32,191,56,12,75,0
Bad Liar,Selena Gomez,dance pop,2018,121,41,97,-6,8,73,215,19,7,75,0
Anywhere,Rita Ora,dance pop,2018,107,80,63,-4,10,32,215,4,6,74,0
Say Something,Justin Timberlake,dance pop,2018,97,63,71,-7,8,37,279,10,8,74,0
Chun-Li,Nicki Minaj,dance pop,2018,129,73,69,-5,11,48,192,28,37,73,0
Sign of the Times,Harry Styles,dance pop,2018,120,57,52,-5,11,21,341,3,3,72,0
Familiar,Liam Payne,dance pop,2018,93,81,64,-5,8,91,197,2,33,72,0
Let Me,ZAYN,dance pop,2018,168,57,46,-6,10,19,185,24,5,72,0
Supernova,Ansel Elgort,dance pop,2018,140,62,77,-5,21,68,191,6,10,72,0
Nervous,Shawn Mendes,canadian pop,2018,122,62,84,-7,13,74,164,4,8,71,0
First Time,Kygo,edm,2018,90,59,63,-7,10,68,194,20,11,71,0
End Game,Taylor Swift,pop,2018,159,59,65,-6,11,15,245,1,6,70,0
Mi Gente (feat. Beyoncé),J Balvin,latin,2018,105,72,76,-6,23,47,210,2,8,68,0
Lemon,N.E.R.D,hip hop,2018,95,73,92,-7,12,20,220,0,9,68,0
For You (With Rita Ora),Liam Payne,dance pop,2018,113,80,54,-5,42,18,243,2,3,67,0
Want To,Dua Lipa,dance pop,2018,92,69,57,-5,6,32,212,8,12,67,0
What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018,104,79,63,-4,16,41,220,5,6,67,0
Wait,Maroon 5,pop,2018,126,60,66,-5,11,45,191,10,6,67,0
What About Us,P!nk,dance pop,2018,114,59,39,-6,9,19,272,3,6,66,0
Kissing Strangers,DNCE,dance pop,2018,120,74,77,-6,9,86,202,5,4,66,0
2U (feat. Justin Bieber),David Guetta,dance pop,2018,145,61,53,-7,23,53,195,23,6,65,0
Walk On Water (feat. Beyoncé),Eminem,detroit hip hop,2018,82,44,48,-10,64,62,304,81,24,65,0
This Town,Niall Horan,dance pop,2018,112,41,68,-8,12,20,233,70,3,64,0
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,2018,94,69,73,-4,10,42,221,2,5,64,0
MOVE TO MIAMI,Enrique Iglesias,dance pop,2018,100,87,76,-4,7,90,169,3,5,64,0
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,2018,100,64,75,-5,11,45,186,25,9,64,0
Filthy,Justin Timberlake,dance pop,2018,97,58,75,-6,25,65,294,4,14,62,0
Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,130,69,63,-4,12,25,227,16,9,57,0
Ferrari,Bebe Rexha,dance pop,2018,77,48,58,-6,10,42,213,2,3,57,0
Supplies,Justin Timberlake,dance pop,2018,120,55,79,-7,13,23,226,1,5,57,0
Boom Boom,RedOne,moroccan pop,2018,110,76,75,-8,20,58,248,0,5,53,0
...Ready For It? - BloodPop® Remix,Taylor Swift,pop,2018,160,84,58,-5,10,50,190,13,22,52,0
Drip (feat. Migos),Cardi B,pop,2018,130,59,97,-8,8,27,264,5,26,45,0
Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,102,77,58,-5,9,76,182,5,8,44,0
Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,99,1
Lose You To Love Me,Selena Gomez,dance pop,2019,102,34,51,-9,21,9,206,58,4,97,0
Someone You Loved,Lewis Capaldi,pop,2019,110,41,50,-6,11,45,182,75,3,96,1
Señorita,Shawn Mendes,canadian pop,2019,117,54,76,-6,9,75,191,4,3,95,1
How Do You Sleep?,Sam Smith,pop,2019,111,68,48,-5,8,35,202,15,9,93,1
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,98,62,86,-6,9,67,204,15,8,92,1
